,data,result
0,noisysine_small_test,1.0
1,chfdb_chf01_275_2,1.0
2,chfdb_chf13_45590_2,1.0
3,chfdbchf15_2,1.0
4,ltstdb_20221_43_2,0.9619047619047618
5,ltstdb_20321_240_2,0.9382352941176471
6,mitdb__100_180_2,0.985
7,mitdbx_mitdbx_108_2,1.0
8,qtdbsel102_2,1.0
9,qtdbsele0606_2,0.9774999999999998
10,stdb_308_2,0.8333333333333333
11,xmitdb_x108_2,1.0
12,TEK_ALL,0.9638888888888889
13,dutch_power_demand,1.0
14,Patient_respiration,0.9109756097560977
15,taxi,1.0
16,GPS_trajectory_data,1.0
17,ann_gun_CentroidA_2,0.9997142857142858
18,arma_test,0.7602368866328256
