,data,GDK_square,IDK_GDK,GDK_IDK,,P:,GDK_square,IDK_GDK,GDK_IDK,IDK_square(less psi)
0,noisysine_small_test,0.998275862,0.914655172,1,,,1,0.957758621,1,1
1,chfdb_chf01_275_2,1,1,1,,,1,1,1,1
2,chfdb_chf13_45590_2,1,0.975,1,,,1,1,1,1
3,chfdbchf15_2,0.92020202,0.848484848,0.996464646,,,1,0.984848485,1,1
4,ltstdb_20221_43_2,1,0.995238095,1,,,0.904761905,0.871428571,0.961904762,0.94047619
5,ltstdb_20321_240_2,1,0.941176471,0.991176471,,,0.682352941,0.561764706,0.938235294,0.608823529
6,mitdb__100_180_2,0.3,0.38,0.9675,,,0.935,0.915,0.985,0.97
7,mitdbx_mitdbx_108_2,0.815333333,0.736666667,0.861666667,,,1,0.901333333,1,0.988666667
8,qtdbsel102_2,1,0.981696429,1,,,1,0.959821429,1,1
9,qtdbsele0606_2,1,0.98,1,,,0.96,0.995,0.9775,1
10,stdb_308_2,0.833333333,0.8125,0.908333333,,,0.675,0.75,0.833333333,0.85
11,xmitdb_x108_2,0.575,0.933333333,0.833333333,,,1,1,1,1
12,TEK_ALL,1,0.783333333,1,,,0.8,0.908333333,0.963888889,1
13,dutch_power_demand,0.935507246,0.924637681,0.945289855,,,1,0.962681159,1,1
14,Patient_respiration,0.808536585,0.841463415,0.993902439,,,0.864634146,0.831707317,0.91097561,0.88597561
15,taxi,0.811111111,1,0.955555556,,,1,1,1,1
16,GPS_trajectory_data,0.99,0.99,1,,,1,0.88,1,0.97
17,ann_gun_CentroidA_2,1,0.986,1,,,0.985428571,0.885142857,0.999714286,0.99
18,arma_test,0.997461929,0.967005076,0.998646362,,,0.614213198,0.691539763,0.760236887,0.760575296
