,data,result
0,noisysine_small_test,1.0
1,chfdb_chf01_275_2,1.0
2,chfdb_chf13_45590_2,1.0
3,chfdbchf15_2,1.0
4,ltstdb_20221_43_2,0.9047619047619049
5,ltstdb_20321_240_2,0.7470588235294117
6,mitdb__100_180_2,0.93
7,mitdbx_mitdbx_108_2,1.0
8,qtdbsel102_2,1.0
9,qtdbsele0606_2,0.96
10,stdb_308_2,0.6916666666666667
11,xmitdb_x108_2,1.0
12,TEK_ALL,0.7833333333333333
13,dutch_power_demand,1.0
14,Patient_respiration,0.8695121951219514
15,taxi,1.0
16,GPS_trajectory_data,0.99
17,ann_gun_CentroidA_2,0.9874285714285713
18,arma_test,0.6162436548223349
