,data,result
0,noisysine_small_test,1.0
1,chfdb_chf01_275_2,1.0
2,chfdb_chf13_45590_2,1.0
3,chfdbchf15_2,1.0
4,ltstdb_20221_43_2,0.9404761904761905
5,ltstdb_20321_240_2,0.6088235294117647
6,mitdb__100_180_2,0.97
7,mitdbx_mitdbx_108_2,0.9886666666666667
8,qtdbsel102_2,1.0
9,qtdbsele0606_2,1.0
10,stdb_308_2,0.85
11,xmitdb_x108_2,1.0
12,TEK_ALL,1.0
13,dutch_power_demand,1.0
14,Patient_respiration,0.8859756097560976
15,taxi,1.0
16,GPS_trajectory_data,0.9700000000000001
17,ann_gun_CentroidA_2,0.99
18,arma_test,0.7605752961082911
